snapshot_at_jst,rank_now,group,team_code,team_ja,played,points,goal_difference,goals_for,group_status,third_status,ranking_note
2026-06-26T19:16:44+09:00,1,F,SWE,スウェーデン,3,4,0,7,確定,確定した3位,順位は勝点→得失点差→総得点の暫定比較。全組終了後、同値ならフェアプレー→FIFAランキング。
2026-06-26T19:16:44+09:00,2,E,ECU,エクアドル,3,4,0,2,確定,確定した3位,順位は勝点→得失点差→総得点の暫定比較。全組終了後、同値ならフェアプレー→FIFAランキング。
2026-06-26T19:16:44+09:00,3,B,BIH,ボスニア・ヘルツェゴビナ,3,4,-1,5,確定,確定した3位,順位は勝点→得失点差→総得点の暫定比較。全組終了後、同値ならフェアプレー→FIFAランキング。
2026-06-26T19:16:44+09:00,4,D,PAR,パラグアイ,3,4,-2,2,確定,確定した3位,順位は勝点→得失点差→総得点の暫定比較。全組終了後、同値ならフェアプレー→FIFAランキング。
2026-06-26T19:16:44+09:00,5,L,CRO,クロアチア,2,3,-1,3,最終節前,暫定3位,順位は勝点→得失点差→総得点の暫定比較。全組終了後、同値ならフェアプレー→FIFAランキング。
2026-06-26T19:16:44+09:00,6,A,KOR,韓国,3,3,-1,2,確定,確定した3位,順位は勝点→得失点差→総得点の暫定比較。全組終了後、同値ならフェアプレー→FIFAランキング。
2026-06-26T19:16:44+09:00,7,J,DZA,アルジェリア,2,3,-2,2,最終節前,暫定3位,順位は勝点→得失点差→総得点の暫定比較。全組終了後、同値ならフェアプレー→FIFAランキング。
2026-06-26T19:16:44+09:00,8,C,SCO,スコットランド,3,3,-3,1,確定,確定した3位,順位は勝点→得失点差→総得点の暫定比較。全組終了後、同値ならフェアプレー→FIFAランキング。
2026-06-26T19:16:44+09:00,9,H,CPV,カーボベルデ,2,2,0,2,最終節前,暫定3位,順位は勝点→得失点差→総得点の暫定比較。全組終了後、同値ならフェアプレー→FIFAランキング。
2026-06-26T19:16:44+09:00,10,G,BEL,ベルギー,2,2,0,1,最終節前,暫定3位,順位は勝点→得失点差→総得点の暫定比較。全組終了後、同値ならフェアプレー→FIFAランキング。
2026-06-26T19:16:44+09:00,11,K,COD,コンゴ民主共和国,2,1,-1,1,最終節前,暫定3位,順位は勝点→得失点差→総得点の暫定比較。全組終了後、同値ならフェアプレー→FIFAランキング。
2026-06-26T19:16:44+09:00,12,I,SEN,セネガル,2,0,-3,3,最終節前,暫定3位,順位は勝点→得失点差→総得点の暫定比較。全組終了後、同値ならフェアプレー→FIFAランキング。
